,Location_type,WH_capacity_size,zone,WH_regional_zone,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,wh_owner_type,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m,govt_check_l3m,product_wg_ton
1763,Rural,Mid,South,Zone 3,5,0,2,4661,Company Owned,36,0,0,1,77,30.0,20,0,A,2,19,27065
1764,Rural,Large,North,Zone 6,1,0,3,5358,Company Owned,44,0,0,1,194,38.0,6,0,B,2,23,7145
1765,Rural,Mid,West,Zone 2,2,1,4,5004,Rented,52,0,0,0,57,24.0,11,0,B+,6,12,13078
1766,Rural,Small,South,Zone 6,0,0,3,3604,Company Owned,30,0,0,1,83,21.0,29,0,A,2,2,37099
1767,Urban,Large,North,Zone 5,6,0,3,4501,Rented,47,0,0,1,248,33.0,16,1,A+,3,17,24151
1768,Rural,Mid,East,Zone 3,0,1,4,4769,Rented,36,0,0,0,95,25.0,0,0,C,0,27,4132
1769,Rural,Large,South,Zone 6,4,1,3,4390,Company Owned,38,0,0,1,206,43.0,18,1,B+,6,29,22074
1770,Urban,Large,West,Zone 5,6,0,4,4835,Rented,15,0,1,1,231,34.0,24,0,C,2,10,30099
1771,Urban,Large,North,Zone 6,3,1,3,4958,Company Owned,15,0,0,1,102,28.0,31,1,A+,4,6,41079
1772,Rural,Mid,North,Zone 4,4,0,4,7072,Company Owned,46,0,0,0,116,56.0,19,1,A+,2,26,25144
1773,Rural,Large,North,Zone 6,0,3,4,5221,Company Owned,67,0,0,1,252,28.0,19,0,C,5,23,24116
1774,Rural,Small,North,Zone 1,4,5,4,5165,Rented,52,0,0,0,150,23.0,16,1,B,4,3,19056
1775,Rural,Mid,North,Zone 4,3,0,3,5794,Rented,17,0,0,0,212,32.0,20,1,B,5,26,24108
1776,Rural,Small,South,Zone 1,2,1,5,5614,Company Owned,34,0,0,1,216,23.0,7,0,A,4,21,9072
1777,Urban,Mid,West,Zone 4,4,0,5,4339,Rented,54,0,0,1,251,31.0,28,1,B+,4,26,37111
1778,Rural,Small,North,Zone 1,4,0,2,5175,Company Owned,65,0,0,1,247,37.0,17,0,B,3,3,21056
1779,Rural,Mid,South,Zone 2,0,0,2,5263,Rented,26,1,0,1,204,38.0,29,0,C,4,32,38063
1780,Rural,Mid,West,Zone 4,8,0,2,6399,Rented,22,0,0,0,213,21.0,18,0,A,5,26,22119
1781,Rural,Large,North,Zone 6,3,0,2,4819,Company Owned,31,0,0,1,179,28.0,7,1,C,1,28,10069
1782,Rural,Mid,West,Zone 2,4,1,3,4133,Rented,23,0,0,0,122,20.0,6,0,B+,3,12,7057
1783,Rural,Mid,North,Zone 4,3,4,2,4787,Rented,29,0,0,0,167,24.0,19,0,A,4,26,24125
1784,Urban,Mid,South,Zone 2,4,1,3,4515,Rented,43,0,0,1,58,39.0,28,1,B+,2,22,34108
1785,Rural,Large,West,Zone 5,6,0,4,5874,Company Owned,55,0,0,1,188,31.0,13,0,C,1,24,17148
1786,Rural,Large,West,Zone 6,8,3,4,3500,Company Owned,37,1,0,1,258,35.0,25,1,A+,2,6,32135
1787,Rural,Large,North,Zone 6,7,1,4,4805,Company Owned,64,0,0,0,251,26.0,24,1,B,3,28,28120
1788,Rural,Large,North,Zone 6,4,2,2,3713,Rented,22,0,0,1,142,24.0,5,0,C,2,6,6072
1789,Rural,Small,North,Zone 1,5,0,4,5491,Rented,20,0,0,0,268,22.0,13,0,A,5,3,17090
1790,Urban,Mid,South,Zone 3,4,3,2,4784,Rented,50,0,0,0,253,27.0,17,0,C,4,19,21068
1791,Rural,Large,North,Zone 6,4,0,3,3939,Company Owned,45,0,1,1,125,24.0,26,1,A,4,23,36108
1792,Rural,Mid,North,Zone 4,6,0,4,8902,Company Owned,31,1,0,1,190,36.0,20,0,B,5,26,23118
1793,Urban,Mid,West,Zone 3,8,0,2,4420,Rented,32,0,0,0,203,39.0,13,0,A,3,19,18098
1794,Rural,Large,South,Zone 5,1,1,2,4684,Rented,45,0,0,1,231,56.0,19,0,B+,2,25,23144
1795,Rural,Mid,West,Zone 3,1,0,3,3231,Company Owned,54,0,0,1,75,36.0,31,0,A,4,19,42145
1796,Rural,Small,South,Zone 6,1,1,2,5607,Rented,69,0,0,1,204,35.0,11,0,B,5,9,13069
1797,Rural,Large,West,Zone 6,7,0,2,3804,Rented,18,0,0,0,239,18.0,4,0,B,1,6,5070
1798,Rural,Mid,West,Zone 2,4,0,4,4267,Rented,37,0,0,1,144,36.0,5,0,C,1,12,6106
1799,Rural,Mid,West,Zone 4,4,0,4,4282,Rented,58,0,0,0,145,18.0,6,1,C,3,11,7099
1800,Rural,Large,North,Zone 5,2,1,2,4806,Company Owned,60,0,1,1,88,28.0,9,0,B,2,17,11079
1801,Rural,Small,South,Zone 6,4,2,2,7256,Company Owned,27,0,0,0,194,20.0,6,0,A,2,15,8055
1802,Rural,Large,North,Zone 6,7,0,6,6200,Rented,55,0,0,0,73,19.0,22,1,C,3,23,31146
1803,Rural,Mid,North,Zone 3,3,3,1,6055,Company Owned,35,0,0,1,211,35.0,8,0,B,1,27,10072
1804,Rural,Mid,South,Zone 2,4,4,2,5504,Rented,45,0,0,0,157,23.0,6,0,A,2,1,7055
1805,Rural,Mid,South,Zone 3,6,0,2,3967,Company Owned,49,0,0,0,104,36.0,23,0,C,6,19,29058
1806,Rural,Mid,West,Zone 4,3,0,4,5509,Company Owned,64,0,0,1,234,32.0,17,1,A+,4,26,22111
1807,Rural,Mid,South,Zone 2,7,2,3,4046,Rented,45,0,0,1,151,42.0,16,1,A+,4,32,21056
1808,Rural,Mid,North,Zone 4,3,1,3,3805,Rented,40,0,0,0,102,21.0,18,1,A+,6,26,23085
1809,Rural,Mid,South,Zone 3,2,0,2,3961,Company Owned,64,0,0,1,70,25.0,24,0,A+,5,19,33062
1810,Rural,Large,North,Zone 6,3,0,2,5427,Rented,58,0,0,0,213,48.0,34,0,C,4,28,47142
1811,Rural,Small,North,Zone 1,8,0,2,5525,Rented,37,0,0,0,251,17.0,15,0,A,2,3,21078
1812,Rural,Large,North,Zone 5,2,3,2,5333,Rented,47,0,0,0,100,18.0,18,0,C,2,17,22083
1813,Rural,Large,North,Zone 6,5,0,4,4237,Rented,43,0,0,1,266,31.0,17,0,A,4,28,24144
1814,Rural,Small,South,Zone 6,5,5,4,5127,Rented,43,1,1,1,211,28.0,6,0,B,5,2,7108
1815,Rural,Mid,South,Zone 2,5,0,2,4685,Company Owned,17,0,0,1,134,32.0,24,0,B+,3,22,29088
1816,Rural,Large,North,Zone 6,4,1,3,3970,Company Owned,53,0,0,0,67,22.0,12,0,A,4,29,16074
1817,Rural,Small,South,Zone 6,8,0,4,5050,Company Owned,40,0,0,1,203,29.0,25,1,A,3,2,32123
1818,Rural,Mid,West,Zone 3,8,0,2,4472,Company Owned,15,1,0,1,140,25.0,31,0,C,2,19,41097
1819,Rural,Mid,West,Zone 4,0,4,2,6625,Company Owned,58,0,0,0,125,33.0,4,0,C,1,11,5084
1820,Rural,Mid,West,Zone 4,5,0,3,4112,Company Owned,64,0,0,1,165,29.0,6,0,B,4,26,7149
1821,Rural,Large,West,Zone 5,5,0,2,4626,Rented,43,0,0,1,109,52.0,17,1,A+,1,10,24148
1822,Rural,Mid,South,Zone 2,5,1,2,5000,Company Owned,20,0,0,1,161,25.0,15,0,B,4,22,19132
1823,Rural,Large,North,Zone 5,5,0,3,6017,Company Owned,17,0,0,0,222,37.0,15,0,B,4,24,19147
1824,Rural,Small,West,Zone 6,5,0,3,4496,Company Owned,20,1,0,1,223,22.0,32,0,B,4,9,40146
1825,Rural,Large,North,Zone 5,6,0,3,4956,Rented,20,0,0,1,130,29.0,22,0,A,4,14,27108
1826,Rural,Mid,North,Zone 2,1,2,4,6830,Rented,44,0,0,0,101,37.0,22,0,B,6,12,26066
1827,Urban,Small,South,Zone 6,4,4,4,5810,Rented,45,0,0,0,86,25.0,19,0,C,6,15,24076
1828,Rural,Large,North,Zone 6,8,0,5,4447,Rented,52,1,0,1,84,27.0,24,0,A,6,23,30107
1829,Rural,Mid,West,Zone 4,0,3,3,4381,Rented,61,0,0,1,189,28.0,6,0,C,2,11,8147
1830,Rural,Mid,South,Zone 2,5,0,3,4210,Company Owned,41,0,0,1,79,30.0,17,1,B+,6,32,23143
1831,Rural,Mid,South,Zone 2,7,0,2,4090,Rented,57,0,0,1,129,29.0,25,0,C,3,1,32112
1832,Rural,Mid,South,Zone 2,7,0,2,5490,Company Owned,37,0,0,1,199,29.0,0,0,C,0,1,8113
1833,Rural,Small,West,Zone 6,0,0,4,4703,Company Owned,54,0,0,0,258,33.0,11,0,B+,2,9,13064
1834,Rural,Mid,North,Zone 4,6,0,4,4863,Company Owned,70,0,0,0,85,28.0,13,0,A,2,26,18072
1835,Rural,Large,West,Zone 5,1,0,3,4626,Rented,64,0,0,1,219,32.0,0,0,C,0,10,3125
1836,Rural,Small,East,Zone 6,6,4,4,5857,Rented,45,0,0,1,147,29.0,27,0,B,6,15,31147
1837,Urban,Large,South,Zone 5,2,1,3,4099,Company Owned,47,0,0,0,126,23.0,26,0,B,5,10,32055
1838,Rural,Mid,East,Zone 4,7,0,4,4124,Rented,23,0,0,0,226,15.0,10,1,A,6,26,15064
1839,Rural,Large,North,Zone 6,6,3,2,4409,Rented,20,0,0,0,183,19.0,6,0,B,6,28,7111
1840,Rural,Small,South,Zone 1,6,0,2,8018,Rented,19,0,0,0,252,22.0,13,1,A+,1,21,18139
1841,Rural,Mid,South,Zone 4,0,0,1,5657,Rented,25,0,0,1,57,28.0,17,0,C,4,26,23122
1842,Rural,Mid,North,Zone 3,7,3,2,3864,Rented,27,0,0,0,143,26.0,22,0,C,5,27,27088
1843,Urban,Large,West,Zone 6,1,0,3,5785,Rented,57,1,1,1,227,24.0,19,0,B,6,6,22060
1844,Rural,Small,North,Zone 6,2,0,3,5731,Company Owned,20,0,0,1,64,26.0,32,0,B,6,8,39127
1845,Rural,Large,South,Zone 5,1,1,2,3642,Company Owned,51,0,1,1,205,42.0,25,0,A,2,25,33113
1846,Rural,Mid,South,Zone 2,2,0,3,3740,Company Owned,69,0,0,1,116,38.0,10,0,C,5,32,14059
1847,Rural,Large,North,Zone 6,0,4,2,4607,Company Owned,18,0,0,1,127,34.0,5,0,B,1,28,6133
1848,Urban,Large,North,Zone 6,8,0,3,4926,Company Owned,28,0,0,1,268,24.0,14,1,B+,4,6,17077
1849,Urban,Small,South,Zone 6,7,1,4,6110,Rented,15,0,0,0,162,28.0,20,1,A+,5,15,26140
1850,Rural,Mid,West,Zone 3,2,1,3,3346,Company Owned,43,0,0,1,96,24.0,12,0,A,2,19,16126
1851,Rural,Mid,North,Zone 3,1,2,4,4375,Rented,60,0,0,1,133,34.0,25,0,B+,2,27,29057
1852,Rural,Small,South,Zone 6,2,1,2,3968,Rented,42,0,0,0,132,28.0,32,0,A,4,2,42089
1853,Rural,Small,West,Zone 6,4,0,4,3953,Rented,38,1,0,1,126,30.0,22,1,B+,6,15,28091
1854,Rural,Large,North,Zone 6,8,0,2,4609,Company Owned,42,0,0,1,207,32.0,5,1,C,1,28,7151
1855,Rural,Large,West,Zone 6,4,0,4,4089,Rented,40,1,0,1,158,28.0,30,0,A,2,6,40091
1856,Rural,Large,North,Zone 6,8,0,3,5150,Rented,53,0,0,1,146,25.0,5,0,C,1,29,6145
1857,Rural,Large,North,Zone 6,6,0,4,5014,Rented,68,0,1,1,125,28.0,19,1,A+,2,29,24129
1858,Rural,Large,South,Zone 5,3,1,2,5009,Rented,63,0,0,0,81,22.0,36,1,A+,2,14,47062
1859,Urban,Mid,West,Zone 3,6,1,2,3941,Company Owned,22,0,0,1,166,29.0,20,0,A,5,19,26071
1860,Urban,Small,North,Zone 6,6,0,1,4349,Rented,39,0,0,0,67,16.0,24,1,A+,4,15,31121
1861,Rural,Small,North,Zone 1,5,1,3,5342,Company Owned,49,0,0,1,239,31.0,11,0,A,2,21,15124
1862,Rural,Small,North,Zone 6,1,0,5,4611,Rented,55,0,0,0,105,19.0,22,0,C,5,8,29056
1863,Rural,Large,West,Zone 5,4,0,2,6118,Company Owned,68,0,0,1,219,37.0,37,0,C,6,14,49151
1864,Rural,Mid,West,Zone 2,3,0,4,5000,Rented,45,0,0,1,113,29.0,10,0,B,5,1,11058
1865,Rural,Small,North,Zone 1,2,0,2,5808,Rented,54,0,0,1,115,40.0,10,0,B+,1,16,11125
1866,Urban,Mid,West,Zone 2,7,0,3,3608,Rented,25,0,0,0,109,17.0,18,0,B+,5,18,21059
1867,Rural,Mid,North,Zone 3,6,0,3,4877,Rented,30,0,1,1,180,25.0,19,0,B,6,27,24114
1868,Rural,Large,North,Zone 5,1,0,2,5608,Rented,65,0,0,0,173,41.0,24,0,B,4,14,28080
1869,Urban,Mid,North,Zone 2,2,0,3,5506,Rented,65,0,0,0,61,27.0,22,1,A,3,12,29070
1870,Rural,Mid,South,Zone 4,4,1,2,5759,Company Owned,46,0,0,1,220,31.0,30,0,B+,4,26,36115
1871,Rural,Mid,South,Zone 3,7,0,4,4766,Rented,47,0,0,0,198,25.0,10,1,C,6,19,12130
1872,Rural,Mid,West,Zone 4,7,1,4,4930,Company Owned,62,0,0,1,105,27.0,20,0,C,2,11,25100
1873,Rural,Large,West,Zone 5,3,0,2,3687,Company Owned,36,0,0,1,261,32.0,24,0,B,2,14,28098
1874,Rural,Mid,South,Zone 3,8,0,1,4523,Rented,48,0,0,1,90,26.0,8,1,C,2,19,12136
1875,Rural,Small,West,Zone 1,0,0,4,4321,Company Owned,64,1,1,1,166,32.0,24,0,B+,5,30,30138
1876,Rural,Mid,South,Zone 4,1,0,5,3749,Rented,28,0,0,0,239,17.0,34,0,A,6,26,46109
1877,Rural,Small,South,Zone 6,0,0,2,4814,Rented,41,0,0,1,218,28.0,14,0,B,4,9,18128
1878,Rural,Mid,North,Zone 4,6,1,3,5171,Rented,36,0,0,1,197,29.0,28,1,C,4,26,37144
1879,Rural,Small,East,Zone 1,3,0,6,3642,Rented,26,0,0,0,170,22.0,21,1,B,3,16,26150
1880,Rural,Large,West,Zone 6,7,0,5,4648,Rented,59,0,0,1,244,39.0,19,0,B,6,23,22078
1881,Rural,Mid,North,Zone 3,0,1,2,5395,Rented,31,0,1,1,126,31.0,6,0,C,3,27,8067
1882,Rural,Large,South,Zone 6,8,0,3,4602,Rented,29,0,0,1,177,30.0,18,0,B+,2,23,23086
1883,Rural,Large,West,Zone 6,1,0,3,3620,Company Owned,65,0,0,0,231,22.0,4,1,B+,2,6,5130
1884,Rural,Large,South,Zone 6,8,1,4,4168,Rented,64,0,0,1,108,27.0,27,0,A,5,29,34097
1885,Rural,Large,North,Zone 5,4,0,3,3732,Company Owned,68,1,0,1,208,32.0,28,0,A,5,14,38102
1886,Rural,Large,North,Zone 5,6,0,4,4534,Company Owned,25,0,0,0,192,20.0,27,1,A+,5,24,38091
1887,Rural,Mid,South,Zone 3,1,0,3,5378,Rented,34,0,0,1,242,23.0,17,0,B+,4,19,20135
1888,Rural,Mid,West,Zone 4,1,0,3,5630,Company Owned,57,0,0,0,203,37.0,5,0,C,4,26,7080
1889,Rural,Small,South,Zone 6,1,0,4,7353,Rented,23,0,0,1,126,24.0,0,0,C,0,15,4124
1890,Rural,Large,West,Zone 6,5,0,3,4646,Company Owned,18,0,0,0,110,26.0,24,0,B+,4,23,30105
1891,Rural,Mid,South,Zone 3,7,0,2,5021,Company Owned,21,0,0,0,187,28.0,9,1,A+,5,19,12116
1892,Rural,Large,North,Zone 6,5,0,2,5166,Company Owned,68,0,0,1,87,32.0,0,0,C,0,6,8085
1893,Rural,Large,North,Zone 6,5,0,4,4579,Rented,59,0,0,0,102,28.0,27,0,A,2,23,36064
1894,Rural,Mid,North,Zone 2,7,0,3,4757,Company Owned,22,1,0,1,84,39.0,18,0,A,4,1,23091
1895,Urban,Mid,South,Zone 3,0,0,2,4446,Company Owned,17,0,0,1,212,22.0,10,0,C,5,27,12118
1896,Rural,Mid,North,Zone 4,7,1,3,3315,Rented,20,0,1,1,124,27.0,5,0,B+,2,26,6088
1897,Rural,Small,South,Zone 1,3,5,2,5693,Company Owned,22,0,0,1,193,31.0,14,0,C,3,16,17095
1898,Rural,Large,North,Zone 5,1,1,4,5343,Company Owned,65,0,0,0,151,22.0,14,0,B+,4,14,17095
1899,Rural,Large,North,Zone 5,8,2,4,5012,Rented,15,0,0,0,209,17.0,6,0,C,6,14,8083
1900,Rural,Large,West,Zone 5,1,0,3,4988,Company Owned,45,0,0,0,156,32.0,21,0,B+,6,14,26128
1901,Urban,Mid,West,Zone 3,4,0,4,3885,Rented,58,0,0,1,264,41.0,12,1,C,5,19,15124
1902,Rural,Mid,South,Zone 3,1,0,2,4199,Company Owned,46,1,0,1,200,29.0,19,0,B+,4,19,22107
1903,Rural,Mid,West,Zone 2,0,0,4,3811,Company Owned,59,0,0,1,199,21.0,22,0,C,3,12,28096
1904,Rural,Small,North,Zone 1,4,0,4,6291,Rented,20,0,0,1,58,11.0,10,1,A+,1,3,13109
1905,Urban,Small,South,Zone 6,6,2,2,6744,Rented,21,0,0,0,122,23.0,17,1,A+,3,9,23126
1906,Rural,Small,South,Zone 1,2,1,2,5631,Company Owned,66,0,0,0,143,27.0,22,1,B,4,31,26078
1907,Rural,Large,North,Zone 5,6,0,4,6127,Company Owned,47,0,0,1,192,28.0,14,1,A+,6,10,17103
1908,Rural,Large,North,Zone 6,2,4,5,3887,Company Owned,29,1,0,1,198,24.0,25,0,B,5,28,29072
1909,Rural,Large,North,Zone 5,3,1,2,6004,Company Owned,42,0,0,1,158,39.0,26,0,B+,5,14,31145
1910,Rural,Mid,West,Zone 4,7,3,5,6367,Company Owned,58,0,0,0,161,24.0,24,0,B,6,26,28140
1911,Rural,Mid,North,Zone 3,7,0,3,5834,Company Owned,16,0,0,1,169,25.0,19,0,B+,4,27,22086
1912,Rural,Mid,North,Zone 3,8,4,2,5959,Rented,46,0,0,0,83,18.0,9,1,A+,2,27,11075
1913,Rural,Large,West,Zone 5,8,1,3,4150,Company Owned,33,0,0,0,102,25.0,19,0,A,4,10,25094
1914,Rural,Large,North,Zone 6,5,0,3,3261,Rented,60,0,0,0,160,22.0,34,1,A+,3,23,45106
1915,Rural,Large,North,Zone 6,4,0,2,3506,Rented,46,0,0,1,270,31.0,27,0,A,3,23,34059
1916,Rural,Large,South,Zone 5,6,0,3,4764,Rented,17,0,0,1,161,28.0,24,1,A+,2,14,31134
1917,Rural,Large,West,Zone 5,3,1,4,5695,Rented,20,1,0,1,142,26.0,10,0,C,6,14,13058
1918,Rural,Large,North,Zone 5,7,0,3,3327,Company Owned,58,0,0,0,135,18.0,34,1,B,2,5,44100
1919,Rural,Mid,North,Zone 3,5,1,3,5107,Company Owned,52,0,0,0,127,36.0,0,0,C,0,27,3089
1920,Rural,Small,North,Zone 6,0,0,2,4707,Rented,51,0,0,0,151,22.0,13,0,A,6,8,17064
1921,Rural,Mid,West,Zone 4,5,0,2,4969,Rented,67,1,0,1,107,35.0,20,1,A+,2,11,29117
1922,Rural,Small,South,Zone 6,8,0,2,4402,Company Owned,59,0,0,0,133,28.0,5,0,B,2,2,5129
1923,Rural,Mid,North,Zone 2,7,2,3,5670,Company Owned,27,1,1,1,267,28.0,20,0,A,2,18,25090
1924,Rural,Large,South,Zone 6,1,2,2,4990,Company Owned,31,0,0,1,149,26.0,15,0,B+,4,29,17122
1925,Rural,Large,South,Zone 5,8,1,2,5358,Rented,30,0,0,1,179,29.0,16,1,C,4,10,21064
1926,Rural,Mid,West,Zone 3,6,0,4,5401,Rented,32,0,0,1,229,37.0,13,1,A,1,19,19085
1927,Rural,Mid,North,Zone 2,1,1,2,4692,Company Owned,50,0,1,1,255,32.0,4,0,B+,3,1,5085
1928,Rural,Mid,West,Zone 2,4,3,2,5014,Rented,25,0,0,1,65,27.0,5,0,C,3,1,6058
1929,Rural,Large,North,Zone 5,4,4,4,4800,Rented,34,0,0,1,142,29.0,15,0,B+,2,5,18134
1930,Rural,Mid,West,Zone 3,2,1,3,6415,Company Owned,21,0,0,1,250,27.0,17,0,B,3,19,21090
1931,Rural,Small,North,Zone 1,7,3,3,4611,Company Owned,64,0,0,1,101,32.0,5,1,B,3,21,6093
1932,Rural,Mid,West,Zone 4,5,0,3,5507,Company Owned,66,0,0,1,104,39.0,33,0,B+,2,11,40137
1933,Rural,Small,North,Zone 1,3,1,3,5070,Rented,59,0,1,1,204,28.0,9,1,A+,6,21,12113
1934,Rural,Mid,West,Zone 2,7,1,4,5135,Company Owned,16,0,0,1,220,36.0,11,0,A,1,1,15137
1935,Rural,Large,West,Zone 6,6,2,3,4934,Rented,31,0,0,0,117,20.0,15,1,A+,5,23,20102
1936,Rural,Large,West,Zone 5,2,0,2,3715,Rented,63,0,0,1,172,32.0,0,0,C,0,5,3068
1937,Rural,Large,West,Zone 5,0,0,4,5708,Company Owned,62,0,0,1,178,29.0,12,0,B+,3,14,15137
1938,Rural,Mid,South,Zone 3,5,1,3,4918,Rented,38,0,0,1,145,29.0,18,0,C,2,27,23151
1939,Rural,Mid,West,Zone 4,3,1,3,3509,Rented,20,0,0,1,250,31.0,8,1,B,5,11,10084
1940,Rural,Mid,West,Zone 4,8,0,6,4550,Rented,28,0,0,0,192,32.0,4,0,B+,3,26,5085
1941,Rural,Mid,South,Zone 3,5,4,2,5985,Rented,70,0,0,1,248,33.0,25,0,A,4,27,31056
1942,Rural,Large,North,Zone 6,2,0,2,6017,Company Owned,57,1,1,1,94,45.0,19,0,B+,5,23,21088
1943,Rural,Mid,North,Zone 3,1,0,3,4812,Company Owned,38,0,0,1,138,25.0,25,0,B+,6,27,29055
1944,Rural,Mid,North,Zone 3,3,0,4,4934,Company Owned,39,0,0,1,199,30.0,20,1,B+,6,27,24100
1945,Rural,Mid,West,Zone 4,1,4,4,5360,Company Owned,60,1,1,1,179,28.0,24,0,A,4,11,30086
1946,Rural,Large,North,Zone 6,0,0,2,4553,Rented,15,0,0,0,145,19.0,11,0,A+,5,29,14131
1947,Rural,Small,North,Zone 1,2,0,2,6236,Company Owned,67,0,0,1,167,31.0,18,1,A,6,21,26127
1948,Rural,Mid,South,Zone 2,4,0,1,5939,Rented,41,0,0,1,59,36.0,5,1,B,3,22,6081
1949,Rural,Large,North,Zone 5,2,1,2,5206,Company Owned,69,1,0,0,238,20.0,11,0,A,3,17,14086
1950,Rural,Large,North,Zone 6,0,2,4,4939,Company Owned,29,0,0,0,267,19.0,5,0,B+,5,28,6129
1951,Rural,Large,North,Zone 5,7,0,3,6171,Company Owned,25,0,0,1,124,39.0,27,0,A,5,17,36093
1952,Rural,Large,North,Zone 6,0,1,2,5736,Company Owned,67,0,0,0,179,39.0,31,0,A+,4,28,41149
1953,Rural,Mid,North,Zone 4,4,1,3,5015,Company Owned,42,0,0,1,222,34.0,27,0,B,4,26,31059
1954,Rural,Large,North,Zone 6,3,1,3,3852,Company Owned,56,0,0,1,60,43.0,11,1,A+,1,29,15126
1955,Rural,Mid,South,Zone 4,4,0,4,4989,Company Owned,63,0,0,0,97,26.0,22,0,B+,6,26,27107
1956,Rural,Mid,West,Zone 4,6,0,2,5284,Rented,28,0,0,0,220,18.0,20,0,B+,5,11,25085
1957,Urban,Large,South,Zone 5,7,0,2,5304,Rented,18,0,0,0,81,17.0,15,1,B,4,14,19139
1958,Rural,Mid,West,Zone 3,6,0,4,4170,Rented,41,0,0,0,91,24.0,12,0,C,4,19,15112
1959,Rural,Mid,West,Zone 4,4,0,4,6315,Company Owned,58,0,0,0,248,28.0,17,0,B,6,26,19131
1960,Rural,Mid,South,Zone 4,1,1,3,5249,Rented,56,0,0,1,109,22.0,39,0,A+,5,26,51141
1961,Rural,Large,North,Zone 6,8,2,4,5706,Company Owned,39,1,0,1,156,32.0,11,0,B,5,28,13107
1962,Rural,Small,North,Zone 6,7,2,4,3164,Rented,65,0,0,1,81,32.0,26,1,A+,5,9,34129
1963,Rural,Small,South,Zone 6,6,0,4,3989,Company Owned,18,0,0,1,223,45.0,21,0,A,2,9,28058
1964,Rural,Mid,West,Zone 4,2,0,4,5359,Company Owned,36,0,1,1,101,29.0,8,0,C,2,11,10131
1965,Rural,Mid,North,Zone 3,8,0,2,5223,Rented,33,0,0,1,104,33.0,20,0,B,1,27,25116
1966,Rural,Small,West,Zone 6,6,0,3,5332,Company Owned,52,0,0,1,73,33.0,5,1,B+,3,15,7086
1967,Rural,Mid,North,Zone 3,6,1,3,5088,Company Owned,46,0,0,1,60,39.0,6,1,B+,2,27,7132
1968,Rural,Small,South,Zone 6,4,0,3,5652,Company Owned,43,0,0,0,70,24.0,22,1,A+,2,2,28111
1969,Rural,Large,West,Zone 5,7,2,3,4280,Company Owned,18,0,0,1,270,38.0,21,0,B,3,5,25061
1970,Rural,Mid,North,Zone 4,7,3,4,4129,Company Owned,45,0,0,1,84,34.0,24,1,B+,4,26,29073
1971,Rural,Small,North,Zone 6,1,2,2,5148,Rented,66,0,0,0,73,19.0,27,0,A,2,13,34082
1972,Rural,Small,South,Zone 1,3,0,1,4201,Rented,50,0,0,1,70,28.0,13,1,A+,5,21,18070
1973,Rural,Mid,North,Zone 4,0,0,3,3845,Rented,31,0,0,1,123,28.0,21,0,B,4,26,26056
1974,Rural,Large,South,Zone 5,5,0,3,3666,Company Owned,40,1,0,1,95,28.0,15,0,B,4,14,18123
1975,Urban,Large,West,Zone 6,8,1,4,6212,Company Owned,70,0,0,1,184,31.0,19,0,C,5,23,24131
1976,Rural,Mid,South,Zone 2,7,1,2,5013,Rented,41,0,0,1,104,29.0,27,0,B+,6,12,31098
1977,Urban,Large,West,Zone 6,4,0,4,4728,Company Owned,57,0,1,1,123,29.0,19,0,C,2,23,24076
1978,Rural,Mid,South,Zone 2,0,5,1,5680,Rented,15,0,0,1,121,31.0,25,0,A+,6,32,31071
1979,Rural,Mid,South,Zone 4,2,1,6,3692,Rented,49,0,0,0,192,14.0,4,0,C,2,26,5063
1980,Rural,Mid,East,Zone 3,1,3,5,3972,Rented,63,0,0,0,219,31.0,14,0,B,4,27,16060
1981,Rural,Mid,South,Zone 4,3,0,2,4686,Rented,41,0,0,0,271,17.0,14,0,B+,3,20,18086
1982,Rural,Mid,South,Zone 2,0,0,2,5349,Company Owned,45,0,0,1,133,43.0,18,0,B,5,32,21132
1983,Rural,Large,North,Zone 5,5,0,2,5181,Company Owned,52,0,0,1,89,24.0,19,0,A,6,14,25120
1984,Rural,Small,West,Zone 1,6,2,4,4193,Company Owned,66,0,0,0,260,27.0,10,0,B,4,30,13067
1985,Rural,Small,North,Zone 1,5,0,3,4301,Company Owned,67,0,0,1,109,35.0,19,0,A,6,21,24113
1986,Rural,Mid,South,Zone 4,7,1,3,3922,Company Owned,26,0,0,0,111,23.0,21,0,B+,5,26,25136
1987,Rural,Large,South,Zone 6,8,0,1,5015,Company Owned,54,0,0,1,172,28.0,31,0,B,2,29,39093
1988,Rural,Mid,South,Zone 2,1,1,2,4815,Company Owned,32,0,0,1,169,32.0,10,0,C,2,22,13084
1989,Rural,Large,North,Zone 5,1,3,2,7836,Company Owned,29,0,0,1,72,23.0,24,0,A+,3,14,30112
1990,Rural,Large,North,Zone 6,5,4,2,5282,Rented,31,0,0,0,82,27.0,25,0,A,6,23,31058
1991,Rural,Mid,West,Zone 4,2,3,1,7132,Rented,39,1,0,1,215,42.0,27,0,A+,3,26,34118
1992,Rural,Large,North,Zone 5,4,0,3,5687,Rented,59,0,0,0,219,25.0,25,0,B,3,24,29109
1993,Urban,Mid,South,Zone 4,1,0,4,3795,Company Owned,61,0,1,1,270,28.0,14,1,B+,2,26,17074
